"GENG MOBIL1","Gen.G Mobil1 Racing"
"M8 ALPINE","Gentle Mates Alpine"
"COMPLEXITY","Complexity Gaming"
"FURIA","FURIA Esports"
"YANXNZ^^","yANXNZ"
"RADOSINHO","Radosin"
"OG ESPORTS","OG"
"GEN.G MOBIL1","Gen.G Mobil1 Racing"
"LUMINOSITY","Luminosity Gaming"
"SNOWMEN","The Snowmen"
"SPACESTATION","Spacestation Gaming"
"REBELLION","Shopify Rebellion"
